date,ticker,close_adj,return,volume,market_cap_usd_m
2022-04-11,GOTO.JK,382.0,,9410897000,
2022-04-12,GOTO.JK,370.0,,3887331000,
2022-04-13,GOTO.JK,374.0,,3262811400,
2022-04-14,GOTO.JK,376.0,,3675981900,
2022-04-18,GOTO.JK,378.0,,2660312700,
2022-04-19,GOTO.JK,358.0,,2252971800,
2022-04-20,GOTO.JK,338.0,,5804281200,
2022-04-21,GOTO.JK,340.0,,1670584600,
2022-04-22,GOTO.JK,340.0,,6075753400,
2022-04-25,GOTO.JK,328.0,,1960587900,
2022-04-26,GOTO.JK,310.0,,1843997100,
2022-04-27,GOTO.JK,290.0,,2077577300,
2022-04-28,GOTO.JK,272.0,,2280309800,
2022-05-09,GOTO.JK,254.0,,621345600,
2022-05-10,GOTO.JK,238.0,,201334400,
2022-05-11,GOTO.JK,222.0,,2942404500,
2022-05-12,GOTO.JK,208.0,,312982800,
2022-05-13,GOTO.JK,194.0,,407286800,
2022-05-17,GOTO.JK,200.0,,3671507800,
2022-05-18,GOTO.JK,248.0,,4266865400,
2022-05-19,GOTO.JK,280.0,,7571482600,
2022-05-20,GOTO.JK,304.0,,4241679500,
2022-05-23,GOTO.JK,296.0,,4968873700,
2022-05-24,GOTO.JK,302.0,,4221223100,
2022-05-25,GOTO.JK,304.0,,3111550600,
2022-05-27,GOTO.JK,312.0,,3009337300,
2022-05-30,GOTO.JK,314.0,,3448044600,
2022-05-31,GOTO.JK,304.0,,2072919200,
2022-06-02,GOTO.JK,344.0,,5638486100,
2022-06-03,GOTO.JK,354.0,,3103587800,
2022-06-06,GOTO.JK,330.0,,3429231900,
2022-06-07,GOTO.JK,364.0,,7097558600,
2022-06-08,GOTO.JK,378.0,,6461195500,
2022-06-09,GOTO.JK,384.0,,6857099000,
2022-06-10,GOTO.JK,386.0,,4737100100,
2022-06-13,GOTO.JK,388.0,,4416773900,
2022-06-14,GOTO.JK,400.0,,4917375800,
2022-06-15,GOTO.JK,404.0,,3624954900,
2022-06-16,GOTO.JK,392.0,,3994392700,
2022-06-17,GOTO.JK,366.0,,2749644800,
2022-06-20,GOTO.JK,370.0,,4244450500,
2022-06-21,GOTO.JK,378.0,,2290207400,
2022-06-22,GOTO.JK,380.0,,1834331100,
2022-06-23,GOTO.JK,380.0,,1406469400,
2022-06-24,GOTO.JK,392.0,,3220565000,
2022-06-27,GOTO.JK,394.0,,1513413700,
2022-06-28,GOTO.JK,392.0,,899052600,
2022-06-29,GOTO.JK,390.0,,968133900,
2022-06-30,GOTO.JK,388.0,,917267800,
2022-07-01,GOTO.JK,370.0,,1099867400,
2022-07-04,GOTO.JK,346.0,,705938600,
2022-07-05,GOTO.JK,334.0,,1573844700,
2022-07-06,GOTO.JK,324.0,,1129407400,
2022-07-07,GOTO.JK,338.0,,1074824400,
2022-07-08,GOTO.JK,350.0,,1241855000,
2022-07-11,GOTO.JK,338.0,,840928300,
2022-07-12,GOTO.JK,330.0,,802215500,
2022-07-13,GOTO.JK,324.0,,870421000,
2022-07-14,GOTO.JK,332.0,,786358600,
2022-07-15,GOTO.JK,320.0,,998698500,
2022-07-18,GOTO.JK,298.0,,1199187000,
2022-07-19,GOTO.JK,302.0,,1378449800,
2022-07-20,GOTO.JK,308.0,,973012900,
2022-07-21,GOTO.JK,300.0,,471674900,
2022-07-22,GOTO.JK,308.0,,901187400,
2022-07-25,GOTO.JK,300.0,,623353800,
2022-07-26,GOTO.JK,292.0,,793320900,
2022-07-27,GOTO.JK,294.0,,912067900,
2022-07-28,GOTO.JK,306.0,,1342198000,
2022-07-29,GOTO.JK,296.0,,692858200,
2022-08-01,GOTO.JK,286.0,,763215700,
2022-08-02,GOTO.JK,286.0,,499654100,
2022-08-03,GOTO.JK,296.0,,505564700,
2022-08-04,GOTO.JK,296.0,,685966500,
2022-08-05,GOTO.JK,296.0,,404408400,
2022-08-08,GOTO.JK,282.0,,695393800,
2022-08-09,GOTO.JK,280.0,,549107900,
2022-08-10,GOTO.JK,280.0,,378601800,
2022-08-11,GOTO.JK,296.0,,759510500,
2022-08-12,GOTO.JK,292.0,,281931400,
2022-08-15,GOTO.JK,294.0,,324300800,
2022-08-16,GOTO.JK,324.0,,1630048400,
2022-08-18,GOTO.JK,334.0,,1467786100,
2022-08-19,GOTO.JK,334.0,,819289600,
2022-08-22,GOTO.JK,320.0,,731674300,
2022-08-23,GOTO.JK,326.0,,533231400,
2022-08-24,GOTO.JK,328.0,,317306600,
2022-08-25,GOTO.JK,326.0,,359738000,
2022-08-26,GOTO.JK,318.0,,307009800,
2022-08-29,GOTO.JK,320.0,,452164000,
2022-08-30,GOTO.JK,324.0,,569989200,
2022-08-31,GOTO.JK,302.0,,1150395400,
2022-09-01,GOTO.JK,290.0,,604813200,
2022-09-02,GOTO.JK,284.0,,569390900,
2022-09-05,GOTO.JK,282.0,,551653400,
2022-09-06,GOTO.JK,282.0,,418847200,
2022-09-07,GOTO.JK,282.0,,1078750900,
2022-09-08,GOTO.JK,286.0,,1297537200,
2022-09-09,GOTO.JK,282.0,,722741900,
2022-09-12,GOTO.JK,278.0,,722425300,
2022-09-13,GOTO.JK,276.0,,646000200,
2022-09-14,GOTO.JK,272.0,,942221600,
2022-09-15,GOTO.JK,266.0,,1309751800,
2022-09-16,GOTO.JK,248.0,,1907902100,
2022-09-19,GOTO.JK,242.0,,1180390700,
2022-09-20,GOTO.JK,266.0,,1631009500,
2022-09-21,GOTO.JK,264.0,,478347600,
2022-09-22,GOTO.JK,264.0,,316075300,
2022-09-23,GOTO.JK,264.0,,323786500,
2022-09-26,GOTO.JK,256.0,,769370300,
2022-09-27,GOTO.JK,252.0,,409587600,
2022-09-28,GOTO.JK,258.0,,658985500,
2022-09-29,GOTO.JK,250.0,,296437700,
2022-09-30,GOTO.JK,246.0,,803170900,
2022-10-03,GOTO.JK,238.0,,616023400,
2022-10-04,GOTO.JK,238.0,,549085500,
2022-10-05,GOTO.JK,242.0,,585580100,
2022-10-06,GOTO.JK,246.0,,927469300,
2022-10-07,GOTO.JK,244.0,,362853000,
2022-10-10,GOTO.JK,242.0,,207344500,
2022-10-11,GOTO.JK,228.0,,663946000,
2022-10-12,GOTO.JK,218.0,,723078400,
2022-10-13,GOTO.JK,212.0,,681890600,
2022-10-14,GOTO.JK,202.0,,820686500,
2022-10-17,GOTO.JK,208.0,,1004378600,
2022-10-18,GOTO.JK,206.0,,633648100,
2022-10-19,GOTO.JK,204.0,,469606700,
2022-10-20,GOTO.JK,206.0,,1457661900,
2022-10-21,GOTO.JK,200.0,,757002500,
2022-10-24,GOTO.JK,190.0,,1350719400,
2022-10-25,GOTO.JK,193.0,,1586468900,
2022-10-26,GOTO.JK,197.0,,1716782100,
2022-10-27,GOTO.JK,198.0,,871228300,
2022-10-28,GOTO.JK,189.0,,722541000,
2022-10-31,GOTO.JK,186.0,,710166900,
2022-11-01,GOTO.JK,184.0,,509600800,
2022-11-02,GOTO.JK,195.0,,862237100,
2022-11-03,GOTO.JK,200.0,,1695523200,
2022-11-04,GOTO.JK,200.0,,734140700,
2022-11-07,GOTO.JK,197.0,,563929600,
2022-11-08,GOTO.JK,194.0,,283015000,
2022-11-09,GOTO.JK,199.0,,606657100,
2022-11-10,GOTO.JK,188.0,,1244264600,
2022-11-11,GOTO.JK,210.0,,2048184500,
2022-11-14,GOTO.JK,204.0,,718525700,
2022-11-15,GOTO.JK,204.0,,541628500,
2022-11-16,GOTO.JK,218.0,,1271055100,
2022-11-17,GOTO.JK,214.0,,516263700,
2022-11-18,GOTO.JK,222.0,,1401184800,
2022-11-21,GOTO.JK,210.0,,970473000,
2022-11-22,GOTO.JK,196.0,,1594524700,
2022-11-23,GOTO.JK,191.0,,876202200,
2022-11-24,GOTO.JK,188.0,,676498700,
2022-11-25,GOTO.JK,185.0,,928443000,
2022-11-28,GOTO.JK,173.0,,1756591500,
2022-11-29,GOTO.JK,162.0,,1747506600,
2022-11-30,GOTO.JK,151.0,,3201332700,
2022-12-01,GOTO.JK,141.0,,465761900,
2022-12-02,GOTO.JK,132.0,,194519700,
2022-12-05,GOTO.JK,123.0,,172815100,
2022-12-06,GOTO.JK,115.0,,188696800,
2022-12-07,GOTO.JK,107.0,,248475200,
2022-12-08,GOTO.JK,100.0,,482718800,
2022-12-09,GOTO.JK,93.0,,280769900,
2022-12-12,GOTO.JK,87.0,,283769700,
2022-12-13,GOTO.JK,100.0,,26555346900,
2022-12-14,GOTO.JK,94.0,,8603484800,
2022-12-15,GOTO.JK,97.0,,3462893800,
2022-12-16,GOTO.JK,96.0,,2824421100,
2022-12-19,GOTO.JK,92.0,,2101922500,
2022-12-20,GOTO.JK,87.0,,3307702700,
2022-12-21,GOTO.JK,89.0,,2681076200,
2022-12-22,GOTO.JK,89.0,,1597245400,
2022-12-23,GOTO.JK,86.0,,1468730500,
2022-12-26,GOTO.JK,82.0,,1796841400,
