symbol,timestamp_utc,date_utc,open,high,low,close,adjusted_close,volume,currency,exchange_timezone,source_file,source_url
GRAB,1606833000,2020-12-01,11.890000343322754,11.890000343322754,11.890000343322754,11.890000343322754,11.890000343322754,500,USD,America/New_York,raw/market/633936e87926_GRAB.json,https://query1.finance.yahoo.com/v8/finance/chart/GRAB?period1=1262304000&period2=1788912000&interval=1d&events=div%2Csplits&includeAdjustedClose=true
GRAB,1606919400,2020-12-02,12.479999542236328,12.479999542236328,11.819999694824219,11.819999694824219,11.819999694824219,1000,USD,America/New_York,raw/market/633936e87926_GRAB.json,https://query1.finance.yahoo.com/v8/finance/chart/GRAB?period1=1262304000&period2=1788912000&interval=1d&events=div%2Csplits&includeAdjustedClose=true
GRAB,1607005800,2020-12-03,11.819999694824219,11.899999618530273,11.800000190734863,11.899999618530273,11.899999618530273,14100,USD,America/New_York,raw/market/633936e87926_GRAB.json,https://query1.finance.yahoo.com/v8/finance/chart/GRAB?period1=1262304000&period2=1788912000&interval=1d&events=div%2Csplits&includeAdjustedClose=true
GRAB,1607092200,2020-12-04,12.989999771118164,13.979999542236328,11.5,12.399999618530273,12.399999618530273,15500,USD,America/New_York,raw/market/633936e87926_GRAB.json,https://query1.finance.yahoo.com/v8/finance/chart/GRAB?period1=1262304000&period2=1788912000&interval=1d&events=div%2Csplits&includeAdjustedClose=true
GRAB,1607351400,2020-12-07,13.149999618530273,14.0,12.199999809265137,12.550000190734863,12.550000190734863,14500,USD,America/New_York,raw/market/633936e87926_GRAB.json,https://query1.finance.yahoo.com/v8/finance/chart/GRAB?period1=1262304000&period2=1788912000&interval=1d&events=div%2Csplits&includeAdjustedClose=true
GRAB,1607437800,2020-12-08,12.989999771118164,13.4399995803833,12.25,12.376999855041504,12.376999855041504,14900,USD,America/New_York,raw/market/633936e87926_GRAB.json,https://query1.finance.yahoo.com/v8/finance/chart/GRAB?period1=1262304000&period2=1788912000&interval=1d&events=div%2Csplits&includeAdjustedClose=true
GRAB,1607524200,2020-12-09,12.338000297546387,13.0,12.300000190734863,12.699999809265137,12.699999809265137,39600,USD,America/New_York,raw/market/633936e87926_GRAB.json,https://query1.finance.yahoo.com/v8/finance/chart/GRAB?period1=1262304000&period2=1788912000&interval=1d&events=div%2Csplits&includeAdjustedClose=true
GRAB,1607610600,2020-12-10,12.5,13.100000381469727,12.119999885559082,12.649999618530273,12.649999618530273,27200,USD,America/New_York,raw/market/633936e87926_GRAB.json,https://query1.finance.yahoo.com/v8/finance/chart/GRAB?period1=1262304000&period2=1788912000&interval=1d&events=div%2Csplits&includeAdjustedClose=true
GRAB,1607697000,2020-12-11,12.774999618530273,13.199999809265137,12.5,12.75,12.75,37100,USD,America/New_York,raw/market/633936e87926_GRAB.json,https://query1.finance.yahoo.com/v8/finance/chart/GRAB?period1=1262304000&period2=1788912000&interval=1d&events=div%2Csplits&includeAdjustedClose=true
GRAB,1607956200,2020-12-14,12.949999809265137,13.5,12.850000381469727,13.199999809265137,13.199999809265137,51500,USD,America/New_York,raw/market/633936e87926_GRAB.json,https://query1.finance.yahoo.com/v8/finance/chart/GRAB?period1=1262304000&period2=1788912000&interval=1d&events=div%2Csplits&includeAdjustedClose=true
GRAB,1608042600,2020-12-15,13.380000114440918,13.449999809265137,12.6899995803833,12.692000389099121,12.692000389099121,35100,USD,America/New_York,raw/market/633936e87926_GRAB.json,https://query1.finance.yahoo.com/v8/finance/chart/GRAB?period1=1262304000&period2=1788912000&interval=1d&events=div%2Csplits&includeAdjustedClose=true
