record_id,platform,segment_scope,period,year,frequency,geography_scope,directness_class,sample_family,transaction_value,revenue_value,currency,unit_scale,transaction_revenue_gap,monetization_rate,transaction_to_revenue_ratio,gap_to_revenue_ratio,admission_status,structural_break,source_dataset
OBS-0001,Grab,country allocation,FY2021,2021.0,annual,Indonesia,mixed_direct_derived_pair,conditional_indonesia_country_reconstruction,1.879732,0.079,USD,billion,1.800732,0.0420272677168873,23.794075949367087,22.794075949367087,conditional_case,,data/longitudinal/indonesia_platform_year_extension.csv
OBS-0002,Tokopedia e-commerce segment,e-commerce segment,FY2021,2021.0,annual,Indonesia-aligned business segment,direct_pair_segment,indonesia_aligned_direct_segment,230598613.0,1997222.0,IDR,million,228601391.0,0.008661032145930557,115.45967999551377,114.45967999551377,candidate_core,,data/longitudinal/indonesia_platform_year_extension.csv
OBS-0003,Grab,country allocation,FY2022,2022.0,annual,Indonesia,mixed_direct_derived_pair,conditional_indonesia_country_reconstruction,3.826012,0.275,USD,billion,3.551012,0.07187640812417735,13.912770909090908,12.912770909090908,conditional_case,,data/longitudinal/indonesia_platform_year_extension.csv
OBS-0004,Shopee,country allocation,FY2022,2022.0,annual,Indonesia,mixed_direct_derived_pair,conditional_indonesia_country_reconstruction,18.684,1.569456,USD,billion,17.114544000000002,0.08399999999999999,11.904761904761905,10.904761904761905,conditional_case,,data/longitudinal/indonesia_platform_year_extension.csv
OBS-0005,Tokopedia e-commerce segment,e-commerce segment,FY2022,2022.0,annual,Indonesia-aligned business segment,direct_pair_segment,indonesia_aligned_direct_segment,273146166.0,4030919.0,IDR,million,269115247.0,0.014757369869141784,67.76275236490736,66.76275236490736,candidate_core,,data/longitudinal/indonesia_platform_year_extension.csv
OBS-0006,Grab,country allocation,FY2023,2023.0,annual,Indonesia,mixed_direct_derived_pair,conditional_indonesia_country_reconstruction,5.381397,0.605,USD,billion,4.776396999999999,0.11242433888449412,8.894871074380164,7.894871074380164,conditional_case,,data/longitudinal/indonesia_platform_year_extension.csv
OBS-0007,Shopee,country allocation,FY2023,2023.0,annual,Indonesia,mixed_direct_derived_pair,conditional_indonesia_country_reconstruction,21.52,2.152,USD,billion,19.368,0.1,10.0,9.0,conditional_case,,data/longitudinal/indonesia_platform_year_extension.csv
OBS-0008,Tokopedia e-commerce segment,e-commerce segment,FY2023,2023.0,annual,Indonesia-aligned business segment,direct_pair_segment,indonesia_aligned_direct_segment,248836156.0,6175190.0,IDR,million,242660966.0,0.024816289156950326,40.296113317970786,39.296113317970786,candidate_core,,data/longitudinal/indonesia_platform_year_extension.csv
OBS-0009,Shopee,country allocation,FY2024,2024.0,annual,Indonesia,mixed_direct_derived_pair,conditional_indonesia_country_reconstruction,25.99,2.80692,USD,billion,23.183079999999997,0.108,9.25925925925926,8.25925925925926,conditional_case,,data/longitudinal/indonesia_platform_year_extension.csv
OBS-0010,Blibli/GDN,1P Retail,2022Q4,2022.0,quarter,issuer/segment scope; geography under review,direct_pair_issuer_or_segment,blibli_reported_source_universe,2631.0,2336.0,IDR,billion,295.0,0.8878753325731661,1.1262842465753424,0.12628424657534243,candidate_pending_geography_and_scope,,data/longitudinal/blibli_reported_pairs_all_vintages.csv
